time,Y,Ybar,Ybar_lo,Ybar_hi
1,5900,7092.60243235654,6897.577952145,7302.83422071685
2,10658,8151.96741306238,7922.02280041933,8416.8100734114
3,9771,9314.91702543219,9054.6404550466,9630.32476179714
4,10643,10586.7544497642,10367.0499655081,10775.7695245139
5,15359,11978.38864376,11718.4678062597,12200.4446240045
6,18570,13508.0576945168,12562.7310798412,14070.3658977268
7,9231,15202.8750077106,13181.0115626721,16291.1887830308
8,9194,17100.2575128075,13607.9462343241,19008.7842027985
9,NA,19249.3885090879,13855.7845590722,22378.5511709807
10,NA,21712.9402969332,13945.1271300849,26526.5713005919
